Taxon,Order,Family,Genus,Species
Paleognathae,Struthioniformes,Struthionidae,Struthio,Struthio camelus
Paleognathae,Struthioniformes,Struthionidae,Struthio,Struthio molybdophanes
Paleognathae,Rheiformes,Rheidae,Rhea,Rhea americana
Paleognathae,Rheiformes,Rheidae,Rhea,Rhea pennata
Paleognathae,Apterygiformes,Apterygidae,Apteryx,Apteryx australis
Paleognathae,Apterygiformes,Apterygidae,Apteryx,Apteryx mantelli
Paleognathae,Apterygiformes,Apterygidae,Apteryx,Apteryx rowi
Paleognathae,Apterygiformes,Apterygidae,Apteryx,Apteryx owenii
Paleognathae,Apterygiformes,Apterygidae,Apteryx,Apteryx haastii
Paleognathae,Casuariiformes,Casuariidae,Casuarius,Casuarius casuarius
Paleognathae,Casuariiformes,Casuariidae,Casuarius,Casuarius bennetti
Paleognathae,Casuariiformes,Casuariidae,Casuarius,Casuarius unappendiculatus
Paleognathae,Casuariiformes,Casuariidae,Dromaius,Dromaius novaehollandiae
Paleognathae,Tinamiformes,Tinamidae,Tinamus,Tinamus tao
Paleognathae,Tinamiformes,Tinamidae,Tinamus,Tinamus solitarius
Paleognathae,Tinamiformes,Tinamidae,Tinamus,Tinamus osgoodi
Paleognathae,Tinamiformes,Tinamidae,Tinamus,Tinamus major
Paleognathae,Tinamiformes,Tinamidae,Tinamus,Tinamus guttatus
Paleognathae,Tinamiformes,Tinamidae,Nothocercus,Nothocercus bonapartei
Paleognathae,Tinamiformes,Tinamidae,Nothocercus,Nothocercus julius
Paleognathae,Tinamiformes,Tinamidae,Nothocercus,Nothocercus nigrocapillus
Paleognathae,Tinamiformes,Tinamidae,Crypturellus,Crypturellus berlepschi
Paleognathae,Tinamiformes,Tinamidae,Crypturellus,Crypturellus cinereus
Paleognathae,Tinamiformes,Tinamidae,Crypturellus,Crypturellus soui
Paleognathae,Tinamiformes,Tinamidae,Crypturellus,Crypturellus ptaritepui
Paleognathae,Tinamiformes,Tinamidae,Crypturellus,Crypturellus obsoletus
Paleognathae,Tinamiformes,Tinamidae,Crypturellus,Crypturellus undulatus
Paleognathae,Tinamiformes,Tinamidae,Crypturellus,Crypturellus transfasciatus
Paleognathae,Tinamiformes,Tinamidae,Crypturellus,Crypturellus strigulosus
Paleognathae,Tinamiformes,Tinamidae,Crypturellus,Crypturellus duidae
Paleognathae,Tinamiformes,Tinamidae,Crypturellus,Crypturellus erythropus
Paleognathae,Tinamiformes,Tinamidae,Crypturellus,Crypturellus noctivagus
Paleognathae,Tinamiformes,Tinamidae,Crypturellus,Crypturellus atrocapillus
Paleognathae,Tinamiformes,Tinamidae,Crypturellus,Crypturellus cinnamomeus
Paleognathae,Tinamiformes,Tinamidae,Crypturellus,Crypturellus boucardi
Paleognathae,Tinamiformes,Tinamidae,Crypturellus,Crypturellus kerriae
Paleognathae,Tinamiformes,Tinamidae,Crypturellus,Crypturellus variegatus
Paleognathae,Tinamiformes,Tinamidae,Crypturellus,Crypturellus brevirostris
Paleognathae,Tinamiformes,Tinamidae,Crypturellus,Crypturellus bartletti
Paleognathae,Tinamiformes,Tinamidae,Crypturellus,Crypturellus parvirostris
Paleognathae,Tinamiformes,Tinamidae,Crypturellus,Crypturellus casiquiare
Paleognathae,Tinamiformes,Tinamidae,Crypturellus,Crypturellus tataupa
Paleognathae,Tinamiformes,Tinamidae,Rhynchotus,Rhynchotus rufescens
Paleognathae,Tinamiformes,Tinamidae,Rhynchotus,Rhynchotus maculicollis
Paleognathae,Tinamiformes,Tinamidae,Nothoprocta,Nothoprocta taczanowskii
Paleognathae,Tinamiformes,Tinamidae,Nothoprocta,Nothoprocta ornata
Paleognathae,Tinamiformes,Tinamidae,Nothoprocta,Nothoprocta perdicaria
Paleognathae,Tinamiformes,Tinamidae,Nothoprocta,Nothoprocta cinerascens
Paleognathae,Tinamiformes,Tinamidae,Nothoprocta,Nothoprocta pentlandii
Paleognathae,Tinamiformes,Tinamidae,Nothoprocta,Nothoprocta curvirostris
Paleognathae,Tinamiformes,Tinamidae,Nothura,Nothura boraquira
Paleognathae,Tinamiformes,Tinamidae,Nothura,Nothura minor
Paleognathae,Tinamiformes,Tinamidae,Nothura,Nothura darwinii
Paleognathae,Tinamiformes,Tinamidae,Nothura,Nothura maculosa
Paleognathae,Tinamiformes,Tinamidae,Taoniscus,Taoniscus nanus
Paleognathae,Tinamiformes,Tinamidae,Eudromia,Eudromia elegans
Paleognathae,Tinamiformes,Tinamidae,Eudromia,Eudromia formosa
Paleognathae,Tinamiformes,Tinamidae,Tinamotis,Tinamotis pentlandii
Paleognathae,Tinamiformes,Tinamidae,Tinamotis,Tinamotis ingoufi
Neognathae,Anseriformes,Anhimidae,Anhima,Anhima cornuta
Neognathae,Anseriformes,Anhimidae,Chauna,Chauna chavaria
Neognathae,Anseriformes,Anhimidae,Chauna,Chauna torquata
Neognathae,Anseriformes,Anseranatidae,Anseranas,Anseranas semipalmata
Neognathae,Anseriformes,Anatidae,Dendrocygna,Dendrocygna viduata
Neognathae,Anseriformes,Anatidae,Dendrocygna,Dendrocygna autumnalis
Neognathae,Anseriformes,Anatidae,Dendrocygna,Dendrocygna guttata
Neognathae,Anseriformes,Anatidae,Dendrocygna,Dendrocygna arborea
Neognathae,Anseriformes,Anatidae,Dendrocygna,Dendrocygna bicolor
Neognathae,Anseriformes,Anatidae,Dendrocygna,Dendrocygna eytoni
Neognathae,Anseriformes,Anatidae,Dendrocygna,Dendrocygna arcuata
Neognathae,Anseriformes,Anatidae,Dendrocygna,Dendrocygna javanica
Neognathae,Anseriformes,Anatidae,Thalassornis,Thalassornis leuconotus
Neognathae,Anseriformes,Anatidae,Cereopsis,Cereopsis novaehollandiae
Neognathae,Anseriformes,Anatidae,Branta,Branta bernicla
Neognathae,Anseriformes,Anatidae,Branta,Branta ruficollis
Neognathae,Anseriformes,Anatidae,Branta,Branta sandvicensis
Neognathae,Anseriformes,Anatidae,Branta,Branta canadensis
Neognathae,Anseriformes,Anatidae,Branta,Branta leucopsis
Neognathae,Anseriformes,Anatidae,Branta,Branta hutchinsii
Neognathae,Anseriformes,Anatidae,Anser,Anser indicus
Neognathae,Anseriformes,Anatidae,Anser,Anser canagicus
Neognathae,Anseriformes,Anatidae,Anser,Anser rossii
Neognathae,Anseriformes,Anatidae,Anser,Anser caerulescens
Neognathae,Anseriformes,Anatidae,Anser,Anser anser
Neognathae,Anseriformes,Anatidae,Anser,Anser cygnoides
Neognathae,Anseriformes,Anatidae,Anser,Anser fabalis
Neognathae,Anseriformes,Anatidae,Anser,Anser brachyrhynchus
Neognathae,Anseriformes,Anatidae,Anser,Anser serrirostris
